,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
810,151522385,11/27/2015,11/27/2015,1100,,N Hollywood,1548,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0448 2000,31.0,F,H,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,CHANDLER                     BL,TUJUNGA                      AV,"(34.1681, -118.379)"
811,151522386,11/27/2015,11/26/2015,1100,,N Hollywood,1533,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,38.0,M,H,101.0,STREET,,,IC,Invest Cont,420.0,,,,5600    LAUREL CANYON                BL,,"(34.1722, -118.3965)"
812,151522387,11/27/2015,11/27/2015,900,,N Hollywood,1527,121,"RAPE, FORCIBLE",0400 1415 0527 1402 0510 1822 0515 0550 1206,24.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,998.0,,,11100    VICTORY                      BL,,"(34.1867, -118.3728)"
813,151522388,11/27/2015,11/27/2015,1705,,N Hollywood,1545,220,ATTEMPTED ROBBERY,0302 0337 0334 1309 1310 1414 0907 0400,23.0,M,B,101.0,STREET,118.0,UZI SEMIAUTOMATIC ASSAULT RIFLE,AA,Adult Arrest,220.0,,,,12000    ALBERS                       ST,,"(34.1704, -118.3943)"
814,151522389,11/27/2015,11/26/2015,1945,,N Hollywood,1538,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0416,26.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212.0,BOTTLE,AA,Adult Arrest,236.0,,,,5700    FAIR                         AV,,"(34.174, -118.3746)"
815,151522390,11/27/2015,11/26/2015,1945,,N Hollywood,1538,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,38.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,5700    FAIR                         AV,,"(34.174, -118.3746)"
816,151522395,11/28/2015,11/28/2015,100,,N Hollywood,1595,626,INTIMATE PARTNER - SIMPLE ASSAULT,0906 1813 1814 1414 0916 2000 0416,35.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,BURBANK,FARMDALE,"(34.1369, -118.3858)"
817,151522396,11/26/2015,11/26/2015,1800,,N Hollywood,1566,903,CONTEMPT OF COURT,0913,32.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AA,Adult Arrest,903.0,,,,11100    RIVERSIDE                    DR,,"(34.1524, -118.3728)"
818,151522397,11/27/2015,11/27/2015,815,,N Hollywood,1549,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,29.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,5400    TUJUNGA                      AV,,"(34.1689, -118.379)"
819,101717621,09/09/2010,09/09/2010,1200,17.0,Devonshire,1701,330,BURGLARY FROM VEHICLE,0344 1307,57.0,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,RINALDI,CORBIN,"(34.2748, -118.5621)"
820,151522398,11/27/2015,11/27/2015,830,,N Hollywood,1506,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400,32.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,7300    TUJUNGA                      AV,,"(34.203, -118.379)"
821,151522399,11/27/2015,11/27/2015,130,,N Hollywood,1527,330,BURGLARY FROM VEHICLE,0344 1609 1307,23.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,11300    OXNARD                       ST,,"(34.1849, -118.3746)"
822,151522400,11/27/2015,11/26/2015,1700,,N Hollywood,1514,330,BURGLARY FROM VEHICLE,0344 1607,26.0,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,6900    BEN                          AV,,"(34.1959, -118.3943)"
823,101801392,10/10/2010,10/10/2010,1100,18.0,Southeast,1837,310,BURGLARY,0344 1602,28.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1600 E  114TH                        ST,,"(33.9311, -118.2463)"
